title,singer,year,chartin_counts
2002,Anne-Marie,"[2019, 2020, 2021]",3
A,Ariana Grande,"[2018, 2014, 2015]",3
A,Maroon 5,"[2016, 2017, 2018, 2011, 2012, 2014, 2015]",7
A,이해리 (다비치),"[2012, 2013, 2014]",3
A bientot,임영웅,"[2024, 2022, 2023]",3
After LIKE,IVE (아이브),"[2024, 2022, 2023]",3
All I Want for Christmas Is You,Mariah Carey,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2012, 2013, 2014, 2015]",13
Attention,NewJeans,"[2024, 2022, 2023]",3
Beautiful,Wanna One (워너원),"[2017, 2018, 2019]",3
Blueming,아이유,"[2019, 2020, 2021, 2022]",4
Butter,방탄소년단,"[2024, 2021, 2022, 2023]",4
DNA,방탄소년단,"[2017, 2018, 2019]",3
Ditto,NewJeans,"[2024, 2022, 2023]",3
Dynamite,방탄소년단,"[2020, 2021, 2022, 2023, 2024]",5
ELEVEN,IVE (아이브),"[2021, 2022, 2023]",3
Gone,브라운 아이드 소울,"[2010, 2011, 2012]",3
Hype Boy,NewJeans,"[2024, 2022, 2023]",3
I Don't Think That I Like Her,Charlie Puth,"[2024, 2022, 2023]",3
I'm Not The Only One,Sam Smith,"[2016, 2017, 2014, 2015]",4
IDOL,방탄소년단,"[2018, 2019, 2020]",3
LOVE DIVE,IVE (아이브),"[2024, 2022, 2023]",3
Last Christmas,Ariana Grande,"[2020, 2021, 2022, 2023]",4
Life Goes On,방탄소년단,"[2020, 2021, 2022]",3
London Boy,임영웅,"[2024, 2022, 2023]",3
Love poem,아이유,"[2019, 2020, 2021]",3
METEOR,창모 (CHANGMO),"[2019, 2020, 2021]",3
Make It To Christmas,Alessia Cara,"[2021, 2022, 2023]",3
Must Have Love,"SG 워너비, 브라운아이드걸스","[2018, 2019, 2021, 2022, 2023, 2014]",6
Off My Face,Justin Bieber,"[2021, 2022, 2023]",3
Paris in the Rain,Lauv,"[2019, 2020, 2021]",3
Permission to Dance,방탄소년단,"[2021, 2022, 2023]",3
Polaroid,임영웅,"[2024, 2022, 2023]",3
STAY,"The Kid LAROI, Justin Bieber","[2024, 2021, 2022, 2023]",4
Santa Tell Me,Ariana Grande,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",8
Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단","[2020, 2021, 2022]",3
Snowman,Sia,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",8
Text Me Merry Christmas (Feat. Kristen Bell),Straight No Chaser,"[2019, 2020, 2021, 2022, 2023]",5
Underneath The Tree,Kelly Clarkson,"[2021, 2022, 2023]",3
Universe,EXO,"[2017, 2018, 2019]",3
strawberry moon,아이유,"[2021, 2022, 2023]",3
가슴 시린 이야기 (Feat. 용준형 Of Beast),휘성 (Realslow),"[2011, 2013, 2014]",3
가을 안부,먼데이 키즈 (Monday Kiz),"[2017, 2018, 2019]",3
그날에 나는 맘이 편했을까,이예준,"[2020, 2021, 2022]",3
그날처럼,장덕철,"[2017, 2018, 2019]",3
그리워하다,비투비,"[2017, 2018, 2019]",3
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,"[2013, 2014, 2015]",3
꽃송이가,버스커 버스커,"[2016, 2012, 2014, 2015]",4
"나만, 봄",볼빨간사춘기,"[2019, 2020, 2023]",3
내 손을 잡아,아이유,"[2011, 2021, 2022, 2023]",4
너를,브라운 아이드 소울,"[2013, 2014, 2015]",3
너를 만나,폴킴,"[2018, 2019, 2020, 2021]",4
너의 모든 순간,성시경,"[2021, 2022, 2023, 2024, 2014]",5
노력,박원,"[2016, 2017, 2018]",3
눈이 오잖아(Feat.헤이즈),이무진,"[2024, 2021, 2022, 2023]",4
늦은 밤 너의 집 앞 골목길에서,노을,"[2019, 2020, 2021]",3
다시 만날 수 있을까,임영웅,"[2024, 2022, 2023]",3
다정히 내 이름을 부르면,"경서예지, 전건호","[2024, 2021, 2022, 2023]",4
드라마,아이유,"[2021, 2022, 2023]",3
만약에 말야 (전우성 Solo),노을,"[2013, 2014, 2015]",3
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",7
무지개,임영웅,"[2024, 2022, 2023]",3
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2010, 2011, 2012, 2013, 2014, 2015]",14
바람기억,나얼,"[2012, 2013, 2015]",3
바람이 불었으면 좋겠어,길구봉구,"[2017, 2018, 2014]",3
밤편지,아이유,"[2017, 2018, 2019]",3
밤하늘의 별을(2020),경서,"[2020, 2021, 2022, 2023]",4
벚꽃 엔딩,버스커 버스커,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2012, 2013, 2014, 2015]",13
봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유","[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2014, 2015]",10
봄날,방탄소년단,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",8
봄이 좋냐??,10CM,"[2016, 2017, 2018]",3
비,폴킴,"[2018, 2019, 2020]",3
사건의 지평선,윤하 (YOUNHA),"[2024, 2022, 2023]",3
사랑은 늘 도망가,임영웅,"[2024, 2021, 2022, 2023]",4
사랑인가 봐,멜로망스,"[2024, 2022, 2023]",3
서쪽 하늘,울랄라세션,"[2011, 2012, 2013]",3
선물,멜로망스,"[2017, 2018, 2019]",3
신촌을 못가,포스트맨 (POSTMEN),"[2013, 2014, 2015]",3
신호등,이무진,"[2021, 2022, 2023]",3
아버지,임영웅,"[2024, 2022, 2023]",3
안녕,폴킴,"[2019, 2020, 2021]",3
야생화,박효신,"[2016, 2014, 2015]",3
어디에도,엠씨더맥스 (M.C the MAX),"[2016, 2017, 2018]",3
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"[2019, 2020, 2021, 2022, 2023, 2024]",6
에너제틱 (Energetic),Wanna One (워너원),"[2017, 2018, 2019]",3
에잇(Prod.&Feat. SUGA of BTS),아이유,"[2020, 2021, 2022]",3
여보세요,뉴이스트,"[2017, 2018, 2013]",3
여수 밤바다,버스커 버스커,"[2016, 2012, 2013]",3
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"[2019, 2020, 2021, 2022]",4
우리 왜 헤어져야 해,신예영,"[2019, 2020, 2021]",3
우리들의 블루스,임영웅,"[2024, 2022, 2023]",3
우연히 봄,"로꼬, 유주 (YUJU)","[2016, 2020, 2022, 2023, 2024, 2015]",6
이제 나만 믿어요,임영웅,"[2020, 2021, 2022, 2023, 2024]",5
인생찬가,임영웅,"[2024, 2022, 2023]",3
자니 (Feat. Dynamic Duo),프라이머리,"[2012, 2013, 2014]",3
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"[2019, 2020, 2021, 2022]",4
주저하는 연인들을 위해,잔나비,"[2019, 2020, 2022, 2023, 2024]",5
첫 눈,EXO,"[2021, 2022, 2023, 2024, 2013]",5
첫눈처럼 너에게 가겠다,에일리(Ailee),"[2017, 2018, 2019]",3
취기를 빌려 (취향저격 그녀 X 산들),산들,"[2020, 2021, 2022]",3
취중고백,김민석,"[2024, 2021, 2022, 2023]",4
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2012, 2013, 2014, 2015]",13
피 땀 눈물,방탄소년단,"[2016, 2017, 2018]",3
한숨,이하이,"[2016, 2017, 2018]",3
해요 (2022),#안녕,"[2024, 2022, 2023]",3
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"[2019, 2020, 2021, 2022]",4
