rank,title,singer,album,date,like
33,Dolphin,NONSTOP,오마이걸 (OH MY GIRL),2021.01.04 ~ 2021.01.10,206207
34,사실 나는 (Feat.전건호),사실 나는,경서예지,2021.01.04 ~ 2021.01.10,102670
35,DON'T TOUCH ME,DON'T TOUCH ME,환불원정대,2021.01.04 ~ 2021.01.10,155667
36,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),쇼미더머니 9 Semi Final,"스윙스, 코드 쿤스트 (CODE KUNST)",2021.01.04 ~ 2021.01.10,42961
37,마음을 드려요,사랑의 불시착 OST Part 11,아이유,2021.01.04 ~ 2021.01.10,257351
38,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (MAKTUB),2021.01.04 ~ 2021.01.10,289393
39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,방탄소년단,2021.01.04 ~ 2021.01.10,445218
40,I CAN’T STOP ME,Eyes wide open,TWICE (트와이스),2021.01.04 ~ 2021.01.10,72743
41,거짓말이라도 해서 널 보고싶어,거짓말이라도 해서 널 보고싶어,백지영,2021.01.04 ~ 2021.01.10,87220
42,그날에 나는 맘이 편했을까,그날에 나는 맘이 편했을까,이예준,2021.01.04 ~ 2021.01.10,96471
43,Memories,JORDI (Deluxe),Maroon 5,2021.01.04 ~ 2021.01.10,217777
44,마리아 (Maria),María,화사 (HWASA),2021.01.04 ~ 2021.01.10,163624
45,뻔한남자,뻔한남자,이승기,2021.01.04 ~ 2021.01.10,43558
46,시작,이태원 클라쓰 OST Part.2,가호 (Gaho),2021.01.04 ~ 2021.01.10,259441
47,우리 왜 헤어져야 해,우리 왜 헤어져야 해,신예영,2021.01.04 ~ 2021.01.10,144658
48,사랑은 지날수록 더욱 선명하게 남아,한 걸음 : 흔적,전상근,2021.01.04 ~ 2021.01.10,78454
49,홀로,홀로,이하이,2021.01.04 ~ 2021.01.10,156093
50,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),쇼미더머니 9 Semi Final,머쉬베놈 (MUSHVENOM),2021.01.04 ~ 2021.01.10,37791
51,봄날,YOU NEVER WALK ALONE,방탄소년단,2021.01.04 ~ 2021.01.10,561624
52,Snowman,Everyday Is Christmas (Snowman Deluxe Edition),Sia,2021.01.04 ~ 2021.01.10,265302
53,눈누난나 (NUNU NANA),NUNA,제시 (Jessi),2021.01.04 ~ 2021.01.10,107095
54,한잔이면 지워질까,한잔이면 지워질까,황인욱,2021.01.04 ~ 2021.01.10,28570
55,가을밤에 든 생각,잔나비 소곡집 l,잔나비,2021.01.04 ~ 2021.01.10,144252
56,살짝 설렜어 (Nonstop),NONSTOP,오마이걸 (OH MY GIRL),2021.01.04 ~ 2021.01.10,195826
57,2002,Speak Your Mind (Deluxe),Anne-Marie,2021.01.04 ~ 2021.01.10,415306
58,Dance Monkey,The Kids Are Coming,Tones And I,2021.01.04 ~ 2021.01.10,184864
59,Downtown Baby,Downtown Baby,블루 (BLOO),2021.01.04 ~ 2021.01.10,207156
60,What Do I Call You,What Do I Call You - The 4th Mini Album,태연 (TAEYEON),2021.01.04 ~ 2021.01.10,103496
61,All I Want for Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,2021.01.04 ~ 2021.01.10,236578
62,"사랑 못해, 남들 쉽게 다 하는 거","사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),2021.01.04 ~ 2021.01.10,42012
63,Santa Tell Me,Santa Tell Me,Ariana Grande,2021.01.04 ~ 2021.01.10,246456
64,안녕,호텔 델루나 OST Part.10,폴킴,2021.01.04 ~ 2021.01.10,222272
65,소확행,힘든 건 사랑이 아니다,임창정,2021.01.04 ~ 2021.01.10,57191
66,너를 만나,너를 만나,폴킴,2021.01.04 ~ 2021.01.10,328614
67,Panorama,One-reeler / Act IV,IZ*ONE (아이즈원),2021.01.04 ~ 2021.01.10,105596
68,나로 바꾸자 (duet with JYP),나로 바꾸자 (duet with JYP),비,2021.01.04 ~ 2021.01.10,27856
69,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",쇼미더머니 9 Final,머쉬베놈 (MUSHVENOM),2021.01.04 ~ 2021.01.10,37485
70,처음처럼,CEREMONIA,엠씨더맥스 (M.C the MAX),2021.01.04 ~ 2021.01.10,117953
71,잘할게,The Project,이승기,2021.01.04 ~ 2021.01.10,31728
72,행복해,Happy,송하예,2021.01.04 ~ 2021.01.10,38060
73,너의 번호를 누르고 (Prod. 영화처럼),너의 번호를 누르고,#안녕,2021.01.04 ~ 2021.01.10,142415
74,Love poem,Love poem,아이유,2021.01.04 ~ 2021.01.10,353248
75,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,2021.01.04 ~ 2021.01.10,174401
76,사랑하게 될 줄 알았어,슬기로운 의사생활 OST Part 11,전미도,2021.01.04 ~ 2021.01.10,159351
77,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),Real,아이유,2021.01.04 ~ 2021.01.10,180206
78,우린 어쩌다 헤어진 걸까,Hello,허각,2021.01.04 ~ 2021.01.10,52502
79,Don't Start Now,Future Nostalgia,Dua Lipa,2021.01.04 ~ 2021.01.10,168188
80,별을 담은 시 (Ode To The Stars),Red Moon : Ode To The Stars,"마크툽 (MAKTUB), 이라온",2021.01.04 ~ 2021.01.10,62635
81,너도 아는,너도 아는,폴킴,2021.01.04 ~ 2021.01.10,58873
82,아무노래,아무노래,지코 (ZICO),2021.01.04 ~ 2021.01.10,281569
83,Bad Boy,Bad Boy,"청하, Christopher",2021.01.04 ~ 2021.01.10,92179
84,다시 여기 바닷가,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",2021.01.04 ~ 2021.01.10,243038
85,12:45 (Stripped),12:45 (Stripped),Etham,2021.01.04 ~ 2021.01.10,202604
86,적외선 카메라,쇼미더머니 9 Episode 3,원슈타인,2021.01.04 ~ 2021.01.10,66679
87,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",쇼미더머니 9 Final,머쉬베놈 (MUSHVENOM),2021.01.04 ~ 2021.01.10,23662
88,Paris in the Rain,I met you when I was 18. (the playlist),Lauv,2021.01.04 ~ 2021.01.10,312863
89,Maniac,Maniac,Conan Gray,2021.01.04 ~ 2021.01.10,172212
90,Black Mamba,Black Mamba,aespa,2021.01.04 ~ 2021.01.10,110246
91,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),쇼미더머니 9 Episode 1,"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone), 코드 쿤스트 (CODE KUNST)",2021.01.04 ~ 2021.01.10,37526
92,ON,MAP OF THE SOUL : 7,방탄소년단,2021.01.04 ~ 2021.01.10,262009
93,놓아줘 (with 태연),with HER,Crush,2021.01.04 ~ 2021.01.10,64661
94,For You (Feat. Crush),For You,이하이,2021.01.04 ~ 2021.01.10,62831
95,12월의 어느 겨울…,12월의 어느 겨울…,윤도 (YoonDo),2021.01.04 ~ 2021.01.10,27375
96,Blue & Grey,BE,방탄소년단,2021.01.04 ~ 2021.01.10,124663
97,요즘,요즘,양다일,2021.01.04 ~ 2021.01.10,28317
98,내 방을 여행하는 법,BE,방탄소년단,2021.01.04 ~ 2021.01.10,115261
99,크리스마스니까,Jelly Christmas 2012 HEART PROJECT,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",2021.01.04 ~ 2021.01.10,171262
100,부어라 비워라 (Tricker) (Prod. GroovyRoom),쇼미더머니 9 Episode 3,머쉬베놈 (MUSHVENOM),2021.01.04 ~ 2021.01.10,27015
1,METEOR,Boyhood,창모 (CHANGMO),2019.12.30 ~ 2020.01.05,307036
2,Psycho,‘The ReVe Festival’ Finale,Red Velvet (레드벨벳),2019.12.30 ~ 2020.01.05,245926
3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",Dingo X DAMOIM (Part 2),"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",2019.12.30 ~ 2020.01.05,168200
4,Blueming,Love poem,아이유,2019.12.30 ~ 2020.01.05,364376
5,늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,노을,2019.12.30 ~ 2020.01.05,217357
6,Square (2017),Every letter I sent you.,백예린 (Yerin Baek),2019.12.30 ~ 2020.01.05,299785
7,"다시는 사랑하지 않고, 이별에 아파하기 싫어","다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,2019.12.30 ~ 2020.01.05,77330
8,HIP,reality in BLACK,마마무 (Mamamoo),2019.12.30 ~ 2020.01.05,141383
9,Love poem,Love poem,아이유,2019.12.30 ~ 2020.01.05,353248
10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,AKMU (악뮤),2019.12.30 ~ 2020.01.05,436770
11,나의 오랜 연인에게,나의 오랜 연인에게,다비치,2019.12.30 ~ 2020.01.05,92602
12,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),"Idina Menzel, AURORA",2019.12.30 ~ 2020.01.05,171635
13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,장범준,2019.12.30 ~ 2020.01.05,319136
14,헤어진 우리가 지켜야 할 것들,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",2019.12.30 ~ 2020.01.05,82258
15,조금 취했어 (Prod. 2soo),조금 취했어,임재현,2019.12.30 ~ 2020.01.05,133861
16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (MAKTUB),2019.12.30 ~ 2020.01.05,289393
17,십이월 이십오일의 고백,십이월 이십오일의 고백,정승환,2019.12.30 ~ 2020.01.05,78341
18,사랑이란 멜로는 없어,사랑이란 멜로는 없어,전상근,2019.12.30 ~ 2020.01.05,143181
19,안녕,호텔 델루나 OST Part.10,폴킴,2019.12.30 ~ 2020.01.05,222272
20,이 번호로 전화해줘,이 번호로 전화해줘,바이브,2019.12.30 ~ 2020.01.05,69819
21,새 사랑,새 사랑,송하예,2019.12.30 ~ 2020.01.05,102253
22,빌었어,Boyhood,창모 (CHANGMO),2019.12.30 ~ 2020.01.05,153847
23,"인기 (Feat. 송가인, 챈슬러)",CHANNEL 8,MC몽,2019.12.30 ~ 2020.01.05,83579
24,있어줘요,있어줘요,장덕철,2019.12.30 ~ 2020.01.05,90429
25,첫 겨울이니까,첫 겨울이니까,"성시경, 아이유",2019.12.30 ~ 2020.01.05,61027
26,2002,Speak Your Mind (Deluxe),Anne-Marie,2019.12.30 ~ 2020.01.05,415306
27,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,방탄소년단,2019.12.30 ~ 2020.01.05,445218
28,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN (박혜원),2019.12.30 ~ 2020.01.05,225923
29,포장마차,포장마차,황인욱,2019.12.30 ~ 2020.01.05,166096
30,니 소식,니 소식,송하예,2019.12.30 ~ 2020.01.05,208882
31,이별주,이별주,황인욱,2019.12.30 ~ 2020.01.05,65203
32,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,폴킴,2019.12.30 ~ 2020.01.05,438825
33,다시 만날까 봐,다시 만날까 봐,V.O.S,2019.12.30 ~ 2020.01.05,100111
34,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),"Idina Menzel, Evan Rachel Wood",2019.12.30 ~ 2020.01.05,103225
35,BAND,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",2019.12.30 ~ 2020.01.05,142194
36,Obsession,OBSESSION - The 6th Album,EXO,2019.12.30 ~ 2020.01.05,126034
37,시간의 바깥,Love poem,아이유,2019.12.30 ~ 2020.01.05,153053
38,불티 (Spark),Purpose - The 2nd Album,태연 (TAEYEON),2019.12.30 ~ 2020.01.05,124360
39,사랑에 연습이 있었다면 (Prod. 2soo),사랑에 연습이 있었다면,임재현,2019.12.30 ~ 2020.01.05,235512
40,기억해줘요 내 모든 날과 그때를,호텔 델루나 OST Part.7,거미,2019.12.30 ~ 2020.01.05,176867
41,사랑이 식었다고 말해도 돼,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),2019.12.30 ~ 2020.01.05,132361
42,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019.12.30 ~ 2020.01.05,269255
43,차가워진 이 바람엔 우리가 써있어 (Bad Love),차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN (박혜원),2019.12.30 ~ 2020.01.05,83353
44,워커홀릭,Two Five,볼빨간사춘기,2019.12.30 ~ 2020.01.05,152787
45,Santa Tell Me,Santa Tell Me,Ariana Grande,2019.12.30 ~ 2020.01.05,246456
46,너를 만나,너를 만나,폴킴,2019.12.30 ~ 2020.01.05,328614
47,Señorita,Señorita,"Shawn Mendes, Camila Cabello",2019.12.30 ~ 2020.01.05,168279
48,술이 문제야,술이 문제야,"장혜진, 윤민수(바이브)",2019.12.30 ~ 2020.01.05,159131
49,그대라는 시,호텔 델루나 OST Part.3,태연 (TAEYEON),2019.12.30 ~ 2020.01.05,243646
50,숨겨진 세상 (Into the Unknown End Credit Version),겨울왕국 2 (한국어 버전),태연 (TAEYEON),2019.12.30 ~ 2020.01.05,82418
51,가을밤 떠난 너,Rewind,케이시 (Kassy),2019.12.30 ~ 2020.01.05,145390
52,Snowman,Everyday Is Christmas (Snowman Deluxe Edition),Sia,2019.12.30 ~ 2020.01.05,265302
53,잘 살고 있다,잘 살고 있다,V.O.S,2019.12.30 ~ 2020.01.05,40694
54,Feel Special,Feel Special,TWICE (트와이스),2019.12.30 ~ 2020.01.05,120554
55,허전해,"정규 2집 '마음, 하나'",폴킴,2019.12.30 ~ 2020.01.05,84010
56,꿈속에 너 (Feat. 전상근),두 번째 이야기,에이치코드 (H:CODE),2019.12.30 ~ 2020.01.05,119139
57,All I Want for Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,2019.12.30 ~ 2020.01.05,236578
58,사계 (Four Seasons),사계 (Four Seasons),태연 (TAEYEON),2019.12.30 ~ 2020.01.05,273699
59,Paris in the Rain,I met you when I was 18. (the playlist),Lauv,2019.12.30 ~ 2020.01.05,312863
60,Flower,사랑의 불시착 OST Part 2,윤미래,2019.12.30 ~ 2020.01.05,59638
61,중2병,Dingo X DAMOIM (Part 3),"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",2019.12.30 ~ 2020.01.05,32258
62,헤어지자 (Prod. 정키),soar,휘인 (Whee In),2019.12.30 ~ 2020.01.05,123394
63,마음이 말하는 행복 (Happiness) (Feat.이라온),Red Moon : Happiness,마크툽 (MAKTUB),2019.12.30 ~ 2020.01.05,75576
64,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Aladdin (Original Motion Picture Soundtrack),Naomi Scott,2019.12.30 ~ 2020.01.05,243301
65,unlucky,Love poem,아이유,2019.12.30 ~ 2020.01.05,131026
66,LION,퀸덤 <FINAL 컴백 싱글>,(여자)아이들,2019.12.30 ~ 2020.01.05,116946
67,너에게 못했던 내 마지막 말은,너에게 못했던 내 마지막 말은,다비치,2019.12.30 ~ 2020.01.05,177058
68,샤넬 (Feat. 박봄),CHANNEL 8,MC몽,2019.12.30 ~ 2020.01.05,46359
69,주저하는 연인들을 위해,전설,잔나비,2019.12.30 ~ 2020.01.05,416713
70,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),Amanda,염따,2019.12.30 ~ 2020.01.05,46687
71,노을,사랑의 불시착 OST Part 3,다비치,2019.12.30 ~ 2020.01.05,42408
72,봄날,YOU NEVER WALK ALONE,방탄소년단,2019.12.30 ~ 2020.01.05,561624
73,영화 속에 나오는 주인공처럼,동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6,펀치 (Punch),2019.12.30 ~ 2020.01.05,73451
74,나의 어깨에 기대어요,호텔 델루나 OST Part.2,10CM,2019.12.30 ~ 2020.01.05,121054
75,벗,벗,닐로(Nilo),2019.12.30 ~ 2020.01.05,77328
76,헤어져줘서 고마워,헤어져줘서 고마워,벤,2019.12.30 ~ 2020.01.05,138916
77,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),Real,아이유,2019.12.30 ~ 2020.01.05,180206
78,날 보러 와요 (Come See Me),NEW MOON,AOA,2019.12.30 ~ 2020.01.05,48954
79,우리 어떻게 할까요,사랑하는 그대에게 - The 2nd Mini Album,첸 (CHEN),2019.12.30 ~ 2020.01.05,98406
80,우리 왜 헤어져야 해,우리 왜 헤어져야 해,신예영,2019.12.30 ~ 2020.01.05,144658
81,이별행동,이별행동,이우,2019.12.30 ~ 2020.01.05,69368
82,크리스마스니까,Jelly Christmas 2012 HEART PROJECT,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",2019.12.30 ~ 2020.01.05,171262
83,IDOL,LOVE YOURSELF 結 'Answer',방탄소년단,2019.12.30 ~ 2020.01.05,320253
84,솔직하게 말해서 나,솔직하게 말해서 나,김나영,2019.12.30 ~ 2020.01.05,164839
85,그 사람,Love poem,아이유,2019.12.30 ~ 2020.01.05,98142
86,텅 (Feat.김하온 (HAON)),텅 (Feat.김하온 (HAON)),빈첸,2019.12.30 ~ 2020.01.05,35400
87,Popo (How deep is our love?),Every letter I sent you.,백예린 (Yerin Baek),2019.12.30 ~ 2020.01.05,61727
88,그때가 좋았어,그때가 좋았어,케이시 (Kassy),2019.12.30 ~ 2020.01.05,255484
89,소우주 (Mikrokosmos),MAP OF THE SOUL : PERSONA,방탄소년단,2019.12.30 ~ 2020.01.05,273960
90,Trouble,OBSESSION - The 6th Album,EXO,2019.12.30 ~ 2020.01.05,56511
91,그때의 우리,그때의 우리,펀치 (Punch),2019.12.30 ~ 2020.01.05,23367
92,0310,Every letter I sent you.,백예린 (Yerin Baek),2019.12.30 ~ 2020.01.05,127709
93,나비효과 (Butterfly Effect),OBSESSION - The 6th Album,EXO,2019.12.30 ~ 2020.01.05,59546
94,춤 (Groove),OBSESSION - The 6th Album,EXO,2019.12.30 ~ 2020.01.05,54754
95,"FEVER (Feat. 수퍼비, BIBI)",FEVER,박진영,2019.12.30 ~ 2020.01.05,26021
96,나를 기다렸나요,나를 기다렸나요,한동근,2019.12.30 ~ 2020.01.05,6841
97,지킬 (Jekyll),OBSESSION - The 6th Album,EXO,2019.12.30 ~ 2020.01.05,51328
98,떨어지는 낙엽까지도,만추,헤이즈 (Heize),2019.12.30 ~ 2020.01.05,56164
99,노래방에서,장범준 3집,장범준,2019.12.30 ~ 2020.01.05,212719
100,Ya Ya Ya,OBSESSION - The 6th Album,EXO,2019.12.30 ~ 2020.01.05,49441
